Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        Emotional Intelligence: Why it Can Matter More Than IQ;;;Goleman, D.;9.78075E+12;;;Нет;Нет;396.00 грн;шт
        English Patient,The;;;Ondaatje, M.;9.78075E+12;;;Нет;Нет;324.00 грн;шт
        F.Scott Fitzgerald Collection,The;;;Fitzgerald, F.;9.78185E+12;;;Нет;Нет;942.00 грн;шт
        Fallen, The;;;Richardson, T.;9.78072E+12;;;Нет;Нет;468.00 грн;шт
        Fantastic Beasts & Where to Find Them: Hogwarts Library Book;Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury;Нет;Нет;520.00 грн;шт
        Finkler Question;;;Jacobson, H.;9.78141E+12;;;Нет;Нет;189.00 грн;шт
        Focus;;;Goleman, D.;9.78141E+12;;;Нет;Нет;410.00 грн;шт
        Food of Morocco,The  ;;;Wolfert, P.;9.78141E+12;;A&C Black Agencies;Нет;Нет;1 103.00 грн;шт
        Fortunately, the Milk ...;;;Gaiman, N.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
        Full bibliographic data for Pope Francis;;;Vallely, P.;9.78147E+12;;;Нет;Нет;408.00 грн;шт
        Full bibliographic data for Zoo Time;;;Jacobson, H.;9.78141E+12;;;Нет;Нет;189.00 грн;шт
        God in Every Stone,A ;;;Shamsie, K.;9.78141E+12;;;Нет;Нет;323.00 грн;шт
        Graveyard Book,The ;;;Gaiman, N.;9.78075E+12;;;Нет;Нет;288.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Gryffindor Edition [Hardcover];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;525.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Gryffindor Edition [Paperback];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;280.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Hufflepuff Edition [Hardcover];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;525.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Hufflepuff Edition [Paperback];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;280.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Ravenclaw Edition [Hardcover];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;525.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Ravenclaw Edition [Paperback];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;280.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Slytherin Edition [Hardcover];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;525.00 грн;шт
        Harry Potter 1 Philosopher's Stone - Slytherin Edition [Paperback];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Да;Да;280.00 грн;шт
        Harry Potter 1 Philosopher's Stone Illustrated Edition [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;1 050.00 грн;шт
        Harry Potter 1 Philosopher's Stone Rejacket [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;455.00 грн;шт
        Harry Potter 1 Philosopher's Stone Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
